Site	Sample depth	Age	Mg/Ca	Mg/Ca adj.	Taxa	Paleodepth	Reference	
ODP1209	142.840	42.406	2.58	2.62	Oridorsalis umbonatus	2380	DawberTripati11
ODP1209	142.890	42.435			Oridorsalis umbonatus	2380	DawberTripati11
ODP1209	142.940	42.454	1.91	1.95	Oridorsalis umbonatus	2380	DawberTripati11
ODP1209	142.990	42.482	1.82	1.86	Oridorsalis umbonatus	2380	DawberTripati11
ODP1209	143.040	42.510	2.18	2.22	Oridorsalis umbonatus	2380	DawberTripati11
ODP1209	141.500	42.513	1.13	2.21	Nuttallides truempyi	2379	DuttonLohmannLeckie05
ODP1209	141.500	42.513	2.27	2.31	Oridorsalis umbonatus	2379	DuttonLohmannLeckie05
ODP1209	143.090	42.529	1.99	2.03	Oridorsalis umbonatus	2380	DawberTripati11
ODP1209	143.140	42.558	2.53	2.57	Oridorsalis umbonatus	2379	DawberTripati11
ODP0689	175.300	42.569	2.31	2.28	Oridorsalis umbonatus	1499	LearElderfieldOthers00
ODP0689	175.300	42.569	1.01	1.85	Nuttallides truempyi	1499	LearElderfieldOthers00
ODP1209	143.190	42.586	2.15	2.19	Oridorsalis umbonatus	2379	DawberTripati11
ODP1209	143.240	42.614	2.12	2.16	Oridorsalis umbonatus	2379	DawberTripati11
ODP1209	143.290	42.633			Oridorsalis umbonatus	2379	DawberTripati11
ODP1209	143.340	42.662	2.14	2.18	Oridorsalis umbonatus	2379	DawberTripati11
ODP1209	143.390	42.690	2.44	2.48	Oridorsalis umbonatus	2379	DawberTripati11
ODP1209	143.440	42.709	2.21	2.25	Oridorsalis umbonatus	2379	DawberTripati11
ODP1209	143.490	42.737	2.69	2.73	Oridorsalis umbonatus	2379	DawberTripati11
ODP1209	143.540	42.765	2.33	2.37	Oridorsalis umbonatus	2379	DawberTripati11
ODP1209	143.590	42.796	2.24	2.28	Oridorsalis umbonatus	2379	DawberTripati11
ODP1209	143.640	42.817	2.11	2.15	Oridorsalis umbonatus	2379	DawberTripati11
ODP1209	143.690	42.848	2.41	2.45	Oridorsalis umbonatus	2379	DawberTripati11
ODP1209	143.740	42.879	2.10	2.14	Oridorsalis umbonatus	2379	DawberTripati11
ODP1209	143.790	42.900	2.47	2.51	Oridorsalis umbonatus	2378	DawberTripati11
ODP1209	143.840	42.931	1.99	2.03	Oridorsalis umbonatus	2378	DawberTripati11
ODP1209	143.890	42.962	2.51	2.55	Oridorsalis umbonatus	2378	DawberTripati11
ODP0689	176.800	42.965	2.33	2.30	Oridorsalis umbonatus	1489	LearElderfieldOthers00
ODP1209	143.940	42.983	2.09	2.13	Oridorsalis umbonatus	2378	DawberTripati11
ODP1209	143.990	43.004	1.75	1.79	Oridorsalis umbonatus	2378	DawberTripati11
ODP1209	144.040	43.014	1.96	2.00	Oridorsalis umbonatus	2378	DawberTripati11
ODP1209	144.090	43.024	2.05	2.09	Oridorsalis umbonatus	2378	DawberTripati11
ODP1209	144.140	43.035	1.89	1.93	Oridorsalis umbonatus	2378	DawberTripati11
ODP1209	144.190	43.045	1.81	1.85	Oridorsalis umbonatus	2378	DawberTripati11
ODP1209	144.240	43.066	1.98	2.01	Oridorsalis umbonatus	2378	DawberTripati11
ODP1209	144.290	43.076	2.01	2.04	Oridorsalis umbonatus	2378	DawberTripati11
ODP1209	144.340	43.087	2.50	2.53	Oridorsalis umbonatus	2378	DawberTripati11
ODP1209	144.390	43.097	2.03	2.06	Oridorsalis umbonatus	2378	DawberTripati11
ODP1209	144.440	43.108	1.90	1.93	Oridorsalis umbonatus	2378	DawberTripati11
ODP1209	144.490	43.118			Oridorsalis umbonatus	2378	DawberTripati11
ODP1209	144.540	43.128	2.06	2.09	Oridorsalis umbonatus	2378	DawberTripati11
ODP1209	144.590	43.139	1.80	1.83	Oridorsalis umbonatus	2378	DawberTripati11
ODP1209	144.640	43.149	1.96	1.99	Oridorsalis umbonatus	2378	DawberTripati11
ODP1209	144.690	43.170	2.26	2.29	Oridorsalis umbonatus	2378	DawberTripati11
ODP1209	144.740	43.180	2.24	2.27	Oridorsalis umbonatus	2378	DawberTripati11
ODP1209	144.790	43.191	2.22	2.25	Oridorsalis umbonatus	2378	DawberTripati11
ODP1209	144.840	43.201	2.11	2.14	Oridorsalis umbonatus	2378	DawberTripati11
ODP1209	144.890	43.211	1.96	1.99	Oridorsalis umbonatus	2378	DawberTripati11
ODP1209	144.940	43.222	2.02	2.05	Oridorsalis umbonatus	2378	DawberTripati11
ODP1209	144.990	43.232	1.98	2.01	Oridorsalis umbonatus	2378	DawberTripati11
ODP1209	145.040	43.243	1.96	1.99	Oridorsalis umbonatus	2378	DawberTripati11
ODP1209	145.090	43.263	1.80	1.83	Oridorsalis umbonatus	2378	DawberTripati11
ODP1209	145.140	43.274	2.17	2.20	Oridorsalis umbonatus	2378	DawberTripati11
ODP1209	145.240	43.295			Cibicidoides spp. Dawber	2378	DawberTripati11
ODP1209	145.240	43.295			Oridorsalis umbonatus	2378	DawberTripati11
ODP1209	145.290	43.305	1.79	1.82	Oridorsalis umbonatus	2378	DawberTripati11
ODP1209	145.340	43.315	2.07	2.10	Oridorsalis umbonatus	2378	DawberTripati11
ODP1209	145.390	43.326	1.82	1.85	Oridorsalis umbonatus	2378	DawberTripati11
ODP1209	145.440	43.336	1.96	1.99	Oridorsalis umbonatus	2378	DawberTripati11
ODP1209	145.490	43.357	2.04	2.07	Oridorsalis umbonatus	2378	DawberTripati11
ODP1209	145.540	43.367	2.17	2.20	Oridorsalis umbonatus	2378	DawberTripati11
ODP1209	145.590	43.378			Oridorsalis umbonatus	2378	DawberTripati11
ODP1209	145.640	43.388	2.07	2.10	Oridorsalis umbonatus	2378	DawberTripati11
ODP1209	145.690	43.399			Oridorsalis umbonatus	2378	DawberTripati11
ODP1209	145.740	43.409			Cibicidoides spp. Dawber	2378	DawberTripati11
ODP1209	145.790	43.419			Oridorsalis umbonatus	2378	DawberTripati11
ODP1209	145.840	43.430	2.04	2.07	Oridorsalis umbonatus	2378	DawberTripati11
ODP1209	145.940	43.461	2.01	2.04	Oridorsalis umbonatus	2378	DawberTripati11
ODP1209	145.990	43.471	1.98	2.01	Oridorsalis umbonatus	2378	DawberTripati11
ODP1209	146.040	43.482			Cibicidoides spp. Dawber	2378	DawberTripati11
ODP1209	146.040	43.482			Oridorsalis umbonatus	2378	DawberTripati11
ODP1209	146.090	43.492	2.03	2.06	Oridorsalis umbonatus	2377	DawberTripati11
ODP1209	146.140	43.502			Cibicidoides spp. Dawber	2377	DawberTripati11
ODP1209	146.140	43.502			Oridorsalis umbonatus	2377	DawberTripati11
ODP1209	146.190	43.513	2.21	2.24	Oridorsalis umbonatus	2377	DawberTripati11
ODP1209	146.240	43.523	2.12	2.15	Oridorsalis umbonatus	2377	DawberTripati11
ODP1209	146.290	43.544	2.07	2.10	Oridorsalis umbonatus	2377	DawberTripati11
ODP0689	178.900	43.547	2.41	2.37	Oridorsalis umbonatus	1474	LearElderfieldOthers00
ODP0689	178.900	43.547	1.70	2.21	Cibicidoides spp. Lear	1474	LearElderfieldOthers00
ODP0689	178.900	43.547	2.28		Bulimina tuxpamensis	1474	LearElderfieldOthers00
ODP1209	146.340	43.554	2.16	2.19	Oridorsalis umbonatus	2377	DawberTripati11
ODP1209	146.390	43.565	2.07	2.10	Oridorsalis umbonatus	2377	DawberTripati11
ODP1209	146.440	43.575	2.39	2.42	Oridorsalis umbonatus	2377	DawberTripati11
ODP1209	146.490	43.586	1.87	1.90	Oridorsalis umbonatus	2377	DawberTripati11
ODP1209	146.540	43.596	2.18	2.21	Oridorsalis umbonatus	2377	DawberTripati11
ODP1209	146.590	43.606	2.16	2.19	Oridorsalis umbonatus	2377	DawberTripati11
ODP1209	146.640	43.617	2.28	2.31	Oridorsalis umbonatus	2377	DawberTripati11
ODP1209	146.690	43.627	2.24	2.27	Oridorsalis umbonatus	2377	DawberTripati11
ODP0689	179.260	43.647	2.72	2.68	Oridorsalis umbonatus	1471	LearElderfieldOthers00
ODP1209	146.740	43.648			Oridorsalis umbonatus	2377	DawberTripati11
ODP1209	146.790	43.658	2.73	2.76	Oridorsalis umbonatus	2377	DawberTripati11
ODP1209	146.840	43.669	2.27	2.30	Oridorsalis umbonatus	2377	DawberTripati11
ODP1209	146.940	43.690	2.23	2.26	Oridorsalis umbonatus	2377	DawberTripati11
ODP1209	146.990	43.700	2.16	2.19	Oridorsalis umbonatus	2377	DawberTripati11
ODP1209	147.040	43.710	2.35	2.38	Oridorsalis umbonatus	2377	DawberTripati11
ODP1209	147.090	43.721	2.18	2.21	Oridorsalis umbonatus	2377	DawberTripati11
ODP1209	147.140	43.741			Oridorsalis umbonatus	2377	DawberTripati11
ODP1209	146.990	43.743	1.96	1.99	Oridorsalis umbonatus	2377	DuttonLohmannLeckie05
ODP1209	147.190	43.752			Oridorsalis umbonatus	2377	DawberTripati11
ODP1209	147.240	43.762			Oridorsalis umbonatus	2377	DawberTripati11
ODP1209	147.290	43.773			Oridorsalis umbonatus	2377	DawberTripati11
ODP1209	147.340	43.783	2.26	2.29	Oridorsalis umbonatus	2377	DawberTripati11
ODP1209	147.390	43.793	2.19	2.22	Oridorsalis umbonatus	2377	DawberTripati11
ODP1209	147.390	43.793	2.01	2.04	Oridorsalis umbonatus	2377	DawberTripati11
ODP0689	179.810	43.804			Cibicidoides spp. Billups	1467	BillupsSchrag03
ODP1209	147.440	43.804			Oridorsalis umbonatus	2377	DawberTripati11
ODP1209	147.490	43.814	1.85	1.88	Oridorsalis umbonatus	2377	DawberTripati11
ODP1209	147.540	43.835			Cibicidoides spp. Dawber	2377	DawberTripati11
ODP1209	147.640	43.856			Oridorsalis umbonatus	2377	DawberTripati11
ODP1209	147.690	43.866	2.25	2.28	Oridorsalis umbonatus	2377	DawberTripati11
ODP1209	147.740	43.887	2.16	2.19	Oridorsalis umbonatus	2377	DawberTripati11
ODP1209	147.790	43.897	2.61	2.64	Oridorsalis umbonatus	2377	DawberTripati11
ODP1209	147.840	43.908	2.11	2.14	Oridorsalis umbonatus	2377	DawberTripati11
ODP1209	147.890	43.929	2.31	2.34	Oridorsalis umbonatus	2377	DawberTripati11
ODP1209	147.940	43.939	2.39	2.42	Oridorsalis umbonatus	2377	DawberTripati11
ODP1209	147.990	43.960	2.23	2.26	Oridorsalis umbonatus	2377	DawberTripati11
ODP0689	180.400	43.964	2.58	2.54	Oridorsalis umbonatus	1463	LearElderfieldOthers00
ODP0689	180.400	43.964	1.74	2.26	Cibicidoides spp. Lear	1463	LearElderfieldOthers00
ODP1209	148.040	43.970	2.28	2.31	Oridorsalis umbonatus	2377	DawberTripati11
ODP1209	148.090	43.980	2.25	2.28	Oridorsalis umbonatus	2377	DawberTripati11
ODP1209	148.140	44.001	2.34	2.37	Oridorsalis umbonatus	2377	DawberTripati11
ODP1209	148.190	44.012	2.30	2.33	Oridorsalis umbonatus	2377	DawberTripati11
ODP1209	148.390	44.016	1.08	2.12	Nuttallides truempyi	2377	DuttonLohmannLeckie05
ODP1209	148.240	44.022	2.24	2.27	Oridorsalis umbonatus	2377	DawberTripati11
ODP1209	148.290	44.043	2.45	2.48	Oridorsalis umbonatus	2377	DawberTripati11
ODP1209	148.340	44.053	2.33	2.36	Oridorsalis umbonatus	2377	DawberTripati11
ODP1209	148.440	44.084	2.80	2.83	Oridorsalis umbonatus	2377	DawberTripati11
ODP1209	148.490	44.095	1.79	2.42	Cibicidoides spp. Dawber	2377	DawberTripati11
ODP1209	148.490	44.095			Oridorsalis umbonatus	2377	DawberTripati11
ODP1209	148.540	44.116	2.43	2.46	Oridorsalis umbonatus	2376	DawberTripati11
ODP1209	148.590	44.126			Cibicidoides spp. Dawber	2376	DawberTripati11
ODP1209	148.590	44.126			Oridorsalis umbonatus	2376	DawberTripati11
ODP1209	148.640	44.136	2.50	2.53	Oridorsalis umbonatus	2376	DawberTripati11
ODP1209	148.690	44.157			Cibicidoides spp. Dawber	2376	DawberTripati11
ODP1209	148.690	44.157			Oridorsalis umbonatus	2376	DawberTripati11
ODP1209	148.740	44.168	1.65	2.24	Cibicidoides spp. Dawber	2376	DawberTripati11
ODP1209	148.740	44.168			Oridorsalis umbonatus	2376	DawberTripati11
ODP1209	148.790	44.188			Cibicidoides spp. Dawber	2376	DawberTripati11
ODP1209	148.790	44.188	1.91	1.94	Oridorsalis umbonatus	2376	DawberTripati11
ODP1209	148.890	44.209			Cibicidoides spp. Dawber	2376	DawberTripati11
ODP1209	148.890	44.209			Oridorsalis umbonatus	2376	DawberTripati11
ODP0689	181.310	44.220	2.83	2.61	Cibicidoides spp. Billups	1456	BillupsSchrag03
ODP1209	148.940	44.230	2.07	2.79	Cibicidoides spp. Dawber	2376	DawberTripati11
ODP1209	148.940	44.230			Oridorsalis umbonatus	2376	DawberTripati11
ODP1209	148.990	44.240	2.36	2.39	Oridorsalis umbonatus	2376	DawberTripati11
ODP1209	149.040	44.251			Nuttallides truempyi	2376	DawberTripati11
ODP1209	149.040	44.251			Oridorsalis umbonatus	2376	DawberTripati11
ODP1209	149.090	44.271			Oridorsalis umbonatus	2376	DawberTripati11
ODP1209	149.140	44.282	2.13	2.16	Oridorsalis umbonatus	2376	DawberTripati11
ODP1209	149.190	44.303			Oridorsalis umbonatus	2376	DawberTripati11
ODP1209	149.240	44.313	2.04	2.07	Oridorsalis umbonatus	2376	DawberTripati11
ODP1209	149.290	44.323			Oridorsalis umbonatus	2376	DawberTripati11
ODP1209	149.340	44.344			Oridorsalis umbonatus	2376	DawberTripati11
ODP1209	149.440	44.365			Oridorsalis umbonatus	2376	DawberTripati11
ODP0689	181.900	44.380	2.39	2.35	Oridorsalis umbonatus	1452	LearElderfieldOthers00
ODP0689	181.900	44.380	1.65	2.15	Cibicidoides spp. Lear	1452	LearElderfieldOthers00
ODP1209	150.400	44.438	2.61	2.64	Oridorsalis umbonatus	2376	DuttonLohmannLeckie05
ODP0689	182.760	44.614			Cibicidoides spp. Billups	1445	BillupsSchrag03
ODP1209	149.540	44.874			Nuttallides truempyi	2374	DawberTripati11
ODP1209	152.700	44.886	1.14	2.23	Nuttallides truempyi	2376	DuttonLohmannLeckie05
ODP1209	152.700	44.886	1.14	2.23	Nuttallides truempyi	2376	DuttonLohmannLeckie05
ODP0689	184.310	45.051			Cibicidoides spp. Billups	1433	BillupsSchrag03
ODP1209	155.600	45.788	1.06	2.08	Nuttallides truempyi	2374	DuttonLohmannLeckie05
ODP0689	188.460	46.296	2.40	2.22	Cibicidoides spp. Billups	1398	BillupsSchrag03
ODP1209	158.600	46.434	1.27	2.48	Nuttallides truempyi	2373	DuttonLohmannLeckie05
ODP1209	158.600	46.434	2.48	2.51	Oridorsalis umbonatus	2373	DuttonLohmannLeckie05
ODP0689	188.980	46.446	2.36	2.19	Cibicidoides spp. Billups	1394	BillupsSchrag03
ODP0689	190.460	46.906	2.69	2.65	Oridorsalis umbonatus	1381	LearElderfieldOthers00
ODP1209	160.500	46.926	1.29	2.52	Nuttallides truempyi	2372	DuttonLohmannLeckie05
ODP0689	190.960	47.056			Cibicidoides spp. Billups	1376	BillupsSchrag03
ODP0689	191.590	47.254	2.55	2.51	Oridorsalis umbonatus	1370	LearElderfieldOthers00
ODP0689	191.590	47.254	2.05	2.66	Cibicidoides spp. Lear	1370	LearElderfieldOthers00
ODP1209	165.100	47.806	2.54	2.57	Oridorsalis umbonatus	2371	DuttonLohmannLeckie05
ODP1209	166.600	48.145	1.13	2.21	Nuttallides truempyi	2370	DuttonLohmannLeckie05
ODP1209	166.600	48.145	2.56	2.59	Oridorsalis umbonatus	2370	DuttonLohmannLeckie05
ODP1209	170.000	49.165	1.36	2.65	Nuttallides truempyi	2367	DuttonLohmannLeckie05
ODP1209	171.500	49.509	1.18	2.31	Nuttallides truempyi	2367	DuttonLohmannLeckie05
ODP1209	173.200	50.007	1.26	2.46	Nuttallides truempyi	2365	DuttonLohmannLeckie05
ODP1209	173.200	50.007	2.59	2.62	Oridorsalis umbonatus	2365	DuttonLohmannLeckie05
ODP1209	174.600	50.328	1.32	2.57	Nuttallides truempyi	2365	DuttonLohmannLeckie05
ODP1209	174.600	50.328	3.15	3.18	Oridorsalis umbonatus	2365	DuttonLohmannLeckie05
ODP1209	177.600	50.967	2.63	2.66	Oridorsalis umbonatus	2363	DuttonLohmannLeckie05
ODP1209	181.020	51.556	1.23	2.40	Nuttallides truempyi	2363	DuttonLohmannLeckie05
ODP1209	182.520	51.865	1.36	2.65	Nuttallides truempyi	2362	DuttonLohmannLeckie05
ODP1209	182.520	51.865	1.28	2.50	Nuttallides truempyi	2362	DuttonLohmannLeckie05
ODP1209	182.520	51.865	2.90	2.93	Oridorsalis umbonatus	2362	DuttonLohmannLeckie05
ODP1209	184.100	52.230	2.65	2.68	Oridorsalis umbonatus	2361	DuttonLohmannLeckie05
ODP1209	187.100	52.843	1.55	3.01	Nuttallides truempyi	2360	DuttonLohmannLeckie05
ODP1209	185.400	53.134	1.20	2.34	Nuttallides truempyi	2357	DuttonLohmannLeckie05
ODP1209	188.400	53.733	1.45	2.82	Nuttallides truempyi	2356	DuttonLohmannLeckie05
ODP0689	197.660	54.619	3.18	2.91	Cibicidoides spp. Billups	1115	BillupsSchrag03
ODP0689	198.190	54.691	3.10	2.84	Cibicidoides spp. Billups	1112	BillupsSchrag03
ODP0689	198.730	54.752			Cibicidoides spp. Billups	1110	BillupsSchrag03
ODP0689	200.160	54.946	1.21	2.19	Nuttallides truempyi	1103	LearElderfieldOthers00
ODP0689	200.680	55.017	3.03	2.77	Cibicidoides spp. Billups	1101	BillupsSchrag03
ODP1209	196.400	55.090	1.43	2.78	Nuttallides truempyi	2353	DuttonLohmannLeckie05
ODP0689	201.260	55.091	1.14	2.06	Nuttallides truempyi	1098	LearElderfieldOthers00
ODP0689	201.260	55.091	1.29	2.34	Nuttallides truempyi	1098	LearElderfieldOthers00
ODP0689	203.680	55.414	3.11	2.85	Cibicidoides spp. Billups	1087	BillupsSchrag03
ODP0689	204.260	55.487	1.92	3.54	Nuttallides truempyi	1085	LearElderfieldOthers00
ODP0689	204.260	55.487	1.47		Stilostomella subspinosa	1085	LearElderfieldOthers00
ODP1209	199.400	55.705	1.37	2.66	Nuttallides truempyi	2352	DuttonLohmannLeckie05
ODP0689	211.000	56.243	1.77	3.25	Nuttallides truempyi	1059	LearElderfieldOthers00
ODP0689	211.000	56.243	1.43		Stilostomella subspinosa	1059	LearElderfieldOthers00
ODP1209	203.100	56.375	1.58	3.06	Nuttallides truempyi	2350	DuttonLohmannLeckie05
ODP0689	212.520	56.395	1.54		Stilostomella subspinosa	1053	LearElderfieldOthers00
ODP1209	204.400	56.825	1.50		Gavelinella beccariiformis	2348	DuttonLohmannLeckie05
ODP1209	205.900	57.131	1.50	2.91	Nuttallides truempyi	2347	DuttonLohmannLeckie05
ODP1209	207.400	57.475	1.27	2.47	Nuttallides truempyi	2346	DuttonLohmannLeckie05
ODP1209	210.400	58.161	1.59		Gavelinella beccariiformis	2344	DuttonLohmannLeckie05
ODP1209	210.400	58.161	1.27	2.47	Nuttallides truempyi	2344	DuttonLohmannLeckie05
ODP1209	210.400	58.161	1.42	2.76	Nuttallides truempyi	2344	DuttonLohmannLeckie05
ODP1209	210.400	58.161	2.61	2.64	Oridorsalis umbonatus	2344	DuttonLohmannLeckie05
ODP1209	212.600	58.675	1.48		Gavelinella beccariiformis	2342	DuttonLohmannLeckie05
ODP1209	212.600	58.675	1.33	2.59	Nuttallides truempyi	2342	DuttonLohmannLeckie05
ODP1209	214.200	59.021	1.76	3.40	Nuttallides truempyi	2341	DuttonLohmannLeckie05
ODP1209	215.600	59.322	1.47	2.85	Nuttallides truempyi	2340	DuttonLohmannLeckie05
ODP1209	218.400	60.179	1.52	2.95	Nuttallides truempyi	2336	DuttonLohmannLeckie05
ODP1209	219.900	60.500	1.33	2.59	Nuttallides truempyi	2335	DuttonLohmannLeckie05
ODP1209	223.710	60.914	1.21	2.36	Nuttallides truempyi	2334	DuttonLohmannLeckie05
ODP1209	226.600	61.513	1.45	2.81	Nuttallides truempyi	2332	DuttonLohmannLeckie05
ODP1209	226.420	61.708	1.41	2.74	Nuttallides truempyi	2331	DuttonLohmannLeckie05
ODP1209	227.920	62.008	1.56	3.02	Nuttallides truempyi	2330	DuttonLohmannLeckie05
